,gcm,period_scenario,temp_ch_ipcc,region
248,gfdl-esm4,2021-2040_ssp370,1.5600646020974382,RGI14_glacier
249,gfdl-esm4,2041-2060_ssp370,2.2268476201421814,RGI14_glacier
250,gfdl-esm4,2061-2080_ssp370,3.047196399658838,RGI14_glacier
251,gfdl-esm4,2081-2100_ssp370,3.68647278440712,RGI14_glacier
252,gfdl-esm4,2021-2040_ssp585,1.6400533433824487,RGI14_glacier
253,gfdl-esm4,2041-2060_ssp585,2.4522624091020306,RGI14_glacier
254,gfdl-esm4,2061-2080_ssp585,3.2279916175015737,RGI14_glacier
255,gfdl-esm4,2081-2100_ssp585,4.214915237434565,RGI14_glacier
256,gfdl-esm4,1851-1870_hist,0.3947000467669898,RGI15_glacier
257,gfdl-esm4,1901-1920_hist,0.49127353530626394,RGI15_glacier
258,gfdl-esm4,1951-1970_hist,0.49211361158513,RGI15_glacier
259,gfdl-esm4,1995-2014_hist,0.8880647458325274,RGI15_glacier
260,gfdl-esm4,2021-2040_ssp126,1.5475955059774025,RGI15_glacier
261,gfdl-esm4,2041-2060_ssp126,1.7751453587753199,RGI15_glacier
262,gfdl-esm4,2061-2080_ssp126,1.906821816446734,RGI15_glacier
263,gfdl-esm4,2081-2100_ssp126,1.8067317006054973,RGI15_glacier
264,gfdl-esm4,2021-2040_ssp370,1.5788941402498766,RGI15_glacier
265,gfdl-esm4,2041-2060_ssp370,2.196650557496203,RGI15_glacier
266,gfdl-esm4,2061-2080_ssp370,2.987232568455732,RGI15_glacier
267,gfdl-esm4,2081-2100_ssp370,3.6562597605545806,RGI15_glacier
268,gfdl-esm4,2021-2040_ssp585,1.5756538286414967,RGI15_glacier
269,gfdl-esm4,2041-2060_ssp585,2.3966833762781876,RGI15_glacier
270,gfdl-esm4,2061-2080_ssp585,3.21950163015583,RGI15_glacier
271,gfdl-esm4,2081-2100_ssp585,4.198584326176079,RGI15_glacier
272,gfdl-esm4,1851-1870_hist,0.03663257463101488,RGI16_glacier
273,gfdl-esm4,1901-1920_hist,0.23268686945012462,RGI16_glacier
274,gfdl-esm4,1951-1970_hist,0.30524295242552413,RGI16_glacier
275,gfdl-esm4,1995-2014_hist,0.83512713485628,RGI16_glacier
276,gfdl-esm4,2021-2040_ssp126,1.2907094669444499,RGI16_glacier
277,gfdl-esm4,2041-2060_ssp126,1.5037347573847493,RGI16_glacier
278,gfdl-esm4,2061-2080_ssp126,1.510366109125731,RGI16_glacier
279,gfdl-esm4,2081-2100_ssp126,1.4613178694575462,RGI16_glacier
280,gfdl-esm4,2021-2040_ssp370,1.385110540520036,RGI16_glacier
281,gfdl-esm4,2041-2060_ssp370,1.9451796281743094,RGI16_glacier
282,gfdl-esm4,2061-2080_ssp370,2.5404041742205026,RGI16_glacier
283,gfdl-esm4,2081-2100_ssp370,3.2500783008420386,RGI16_glacier
284,gfdl-esm4,2021-2040_ssp585,1.3961660569761571,RGI16_glacier
285,gfdl-esm4,2041-2060_ssp585,2.010022833705926,RGI16_glacier
286,gfdl-esm4,2061-2080_ssp585,2.752341660927134,RGI16_glacier
287,gfdl-esm4,2081-2100_ssp585,3.670246417340551,RGI16_glacier
288,gfdl-esm4,1851-1870_hist,0.056622424259297977,RGI17_glacier
289,gfdl-esm4,1901-1920_hist,0.43054868630179766,RGI17_glacier
290,gfdl-esm4,1951-1970_hist,0.16261452284949052,RGI17_glacier
291,gfdl-esm4,1995-2014_hist,0.7235388707599545,RGI17_glacier
292,gfdl-esm4,2021-2040_ssp126,1.0413147333088224,RGI17_glacier
293,gfdl-esm4,2041-2060_ssp126,1.2084003824856202,RGI17_glacier
294,gfdl-esm4,2061-2080_ssp126,1.1772184962437864,RGI17_glacier
295,gfdl-esm4,2081-2100_ssp126,1.2770730467594564,RGI17_glacier
296,gfdl-esm4,2021-2040_ssp370,1.0796394925616841,RGI17_glacier
297,gfdl-esm4,2041-2060_ssp370,1.3828699907724014,RGI17_glacier
298,gfdl-esm4,2061-2080_ssp370,1.9606672449049727,RGI17_glacier
299,gfdl-esm4,2081-2100_ssp370,2.544420141780102,RGI17_glacier
300,gfdl-esm4,2021-2040_ssp585,1.0672483592686621,RGI17_glacier
301,gfdl-esm4,2041-2060_ssp585,1.5379168641364815,RGI17_glacier
302,gfdl-esm4,2061-2080_ssp585,2.131751324818752,RGI17_glacier
303,gfdl-esm4,2081-2100_ssp585,2.7900437206518367,RGI17_glacier
304,gfdl-esm4,1851-1870_hist,0.02728590978924139,RGI18_glacier
305,gfdl-esm4,1901-1920_hist,0.3041054742822481,RGI18_glacier
306,gfdl-esm4,1951-1970_hist,0.1254571852854688,RGI18_glacier
307,gfdl-esm4,1995-2014_hist,0.7667378322892172,RGI18_glacier
308,gfdl-esm4,2021-2040_ssp126,0.9686988494083969,RGI18_glacier
309,gfdl-esm4,2041-2060_ssp126,1.206266343892909,RGI18_glacier
310,gfdl-esm4,2061-2080_ssp126,1.263202269059911,RGI18_glacier
311,gfdl-esm4,2081-2100_ssp126,1.3057821482110272,RGI18_glacier
312,gfdl-esm4,2021-2040_ssp370,1.0397407575766477,RGI18_glacier
313,gfdl-esm4,2041-2060_ssp370,1.418940257259922,RGI18_glacier
314,gfdl-esm4,2061-2080_ssp370,2.0775757518101203,RGI18_glacier
315,gfdl-esm4,2081-2100_ssp370,2.67821784985746,RGI18_glacier
316,gfdl-esm4,2021-2040_ssp585,1.0794796107734852,RGI18_glacier
317,gfdl-esm4,2041-2060_ssp585,1.5728801903208902,RGI18_glacier
318,gfdl-esm4,2061-2080_ssp585,2.250656723167462,RGI18_glacier
319,gfdl-esm4,2081-2100_ssp585,2.949177179931236,RGI18_glacier
320,gfdl-esm4,1851-1870_hist,-0.18242282909166974,RGI19_glacier
321,gfdl-esm4,1901-1920_hist,0.4115771523480244,RGI19_glacier
322,gfdl-esm4,1951-1970_hist,0.013092696726073716,RGI19_glacier
323,gfdl-esm4,1995-2014_hist,0.6147690246204444,RGI19_glacier
324,gfdl-esm4,2021-2040_ssp126,1.2941428204537084,RGI19_glacier
325,gfdl-esm4,2041-2060_ssp126,1.348366214581426,RGI19_glacier
326,gfdl-esm4,2061-2080_ssp126,1.2170333443162642,RGI19_glacier
327,gfdl-esm4,2081-2100_ssp126,1.356580332568357,RGI19_glacier
328,gfdl-esm4,2021-2040_ssp370,1.2096112745443088,RGI19_glacier
329,gfdl-esm4,2041-2060_ssp370,1.63041735492103,RGI19_glacier
330,gfdl-esm4,2061-2080_ssp370,2.6588345246256226,RGI19_glacier
331,gfdl-esm4,2081-2100_ssp370,3.2398603594229103,RGI19_glacier
332,gfdl-esm4,2021-2040_ssp585,1.2819801166230933,RGI19_glacier
333,gfdl-esm4,2041-2060_ssp585,1.7833187886324398,RGI19_glacier
334,gfdl-esm4,2061-2080_ssp585,2.77448240512397,RGI19_glacier
335,gfdl-esm4,2081-2100_ssp585,3.901054496334024,RGI19_glacier
336,ipsl-cm6a-lr,1851-1870_hist,-0.19191308799513507,global
337,ipsl-cm6a-lr,1901-1920_hist,-0.20352877513126522,global
338,ipsl-cm6a-lr,1951-1970_hist,0.24289246384681917,global
339,ipsl-cm6a-lr,1995-2014_hist,0.8533128333724608,global
340,ipsl-cm6a-lr,2021-2040_ssp126,1.5767149666738964,global
341,ipsl-cm6a-lr,2041-2060_ssp126,1.989075593139547,global
342,ipsl-cm6a-lr,2061-2080_ssp126,2.1312082437512574,global
343,ipsl-cm6a-lr,2081-2100_ssp126,2.1112205610071397,global
344,ipsl-cm6a-lr,2021-2040_ssp370,1.6181636009792078,global
345,ipsl-cm6a-lr,2041-2060_ssp370,2.534826972372678,global
346,ipsl-cm6a-lr,2061-2080_ssp370,3.45311468352772,global
347,ipsl-cm6a-lr,2081-2100_ssp370,4.617751368627414,global
348,ipsl-cm6a-lr,2021-2040_ssp585,1.6049100398432712,global
349,ipsl-cm6a-lr,2041-2060_ssp585,2.783937760023993,global
350,ipsl-cm6a-lr,2061-2080_ssp585,4.100098437495036,global
351,ipsl-cm6a-lr,2081-2100_ssp585,5.789305065981432,global
352,ipsl-cm6a-lr,1851-1870_hist,-0.9744277185610358,global_glacier
353,ipsl-cm6a-lr,1901-1920_hist,-1.2060532632771475,global_glacier
354,ipsl-cm6a-lr,1951-1970_hist,-0.2166906671829939,global_glacier
355,ipsl-cm6a-lr,1995-2014_hist,1.023895450687231,global_glacier
356,ipsl-cm6a-lr,2021-2040_ssp126,2.3357395437319344,global_glacier
357,ipsl-cm6a-lr,2041-2060_ssp126,3.554658972086678,global_glacier
